county,candidate,party,votes
CHIPPEWA,"Goode, Jr.",UST,83
CHIPPEWA,Alexander,WRITE-IN,0
CHIPPEWA,Anderson,NLP,20
CHIPPEWA,Hoefling,WRITE-IN,0
CHIPPEWA,Johnson,WRITE-IN,0
CHIPPEWA,Obama,DEM,7100
CHIPPEWA,Romney,REP,8278
CHIPPEWA,Stein,GRN,83
CHIPPEWA,White,WRITE-IN,0
CLARE,"Goode, Jr.",UST,79
CLARE,Alexander,WRITE-IN,0
CLARE,Anderson,NLP,19
CLARE,Hoefling,WRITE-IN,0
CLARE,Johnson,WRITE-IN,11
CLARE,Obama,DEM,6338
CLARE,Romney,REP,6988
CLARE,Stein,GRN,69
CLARE,White,WRITE-IN,0
CLINTON,"Goode, Jr.",UST,144
CLINTON,Alexander,WRITE-IN,0
CLINTON,Anderson,NLP,40
CLINTON,Hoefling,WRITE-IN,0
CLINTON,Johnson,WRITE-IN,86
CLINTON,Obama,DEM,18191
CLINTON,Romney,REP,20650
CLINTON,Stein,GRN,124
CLINTON,White,WRITE-IN,0
CRAWFORD,"Goode, Jr.",UST,36
CRAWFORD,Alexander,WRITE-IN,0
CRAWFORD,Anderson,NLP,9
CRAWFORD,Hoefling,WRITE-IN,0
CRAWFORD,Johnson,WRITE-IN,0
CRAWFORD,Obama,DEM,2994
CRAWFORD,Romney,REP,3744
CRAWFORD,Stein,GRN,31
CRAWFORD,White,WRITE-IN,0
DELTA,"Goode, Jr.",UST,85
DELTA,Alexander,WRITE-IN,0
DELTA,Anderson,NLP,19
DELTA,Hoefling,WRITE-IN,0
DELTA,Johnson,WRITE-IN,6
DELTA,Obama,DEM,8330
DELTA,Romney,REP,9534
DELTA,Stein,GRN,76
DELTA,White,WRITE-IN,0
DICKINSON,"Goode, Jr.",UST,63
DICKINSON,Alexander,WRITE-IN,0
DICKINSON,Anderson,NLP,19
DICKINSON,Hoefling,WRITE-IN,0
DICKINSON,Johnson,WRITE-IN,25
DICKINSON,Obama,DEM,4952
DICKINSON,Romney,REP,7688
DICKINSON,Stein,GRN,63
DICKINSON,White,WRITE-IN,0
EATON,"Goode, Jr.",UST,277
EATON,Alexander,WRITE-IN,0
EATON,Anderson,NLP,52
EATON,Hoefling,WRITE-IN,0
EATON,Johnson,WRITE-IN,76
EATON,Obama,DEM,27913
EATON,Romney,REP,26197
EATON,Stein,GRN,273
EATON,White,WRITE-IN,0
EMMET,"Goode, Jr.",UST,77
EMMET,Alexander,WRITE-IN,0
EMMET,Anderson,NLP,22
EMMET,Hoefling,WRITE-IN,0
EMMET,Johnson,WRITE-IN,37
EMMET,Obama,DEM,7225
EMMET,Romney,REP,10253
EMMET,Stein,GRN,95
EMMET,White,WRITE-IN,0
GRAND TRAVERSE,"Goode, Jr.",UST,145
GRAND TRAVERSE,Alexander,WRITE-IN,0
GRAND TRAVERSE,Anderson,NLP,47
GRAND TRAVERSE,Hoefling,WRITE-IN,0
GRAND TRAVERSE,Johnson,WRITE-IN,96
GRAND TRAVERSE,Obama,DEM,20875
GRAND TRAVERSE,Romney,REP,26534
GRAND TRAVERSE,Stein,GRN,302
GRAND TRAVERSE,White,WRITE-IN,0
GENESEE,"Goode, Jr.",UST,763
GENESEE,Alexander,WRITE-IN,0
GENESEE,Anderson,NLP,230
GENESEE,Hoefling,WRITE-IN,4
GENESEE,Johnson,WRITE-IN,219
GENESEE,Obama,DEM,128978
GENESEE,Romney,REP,71808
GENESEE,Stein,GRN,931
GENESEE,White,WRITE-IN,0
GLADWIN,"Goode, Jr.",UST,69
GLADWIN,Alexander,WRITE-IN,0
GLADWIN,Anderson,NLP,12
GLADWIN,Hoefling,WRITE-IN,0
GLADWIN,Johnson,WRITE-IN,31
GLADWIN,Obama,DEM,5760
GLADWIN,Romney,REP,6661
GLADWIN,Stein,GRN,50
GLADWIN,White,WRITE-IN,0
GOGEBIC,"Goode, Jr.",UST,22
GOGEBIC,Alexander,WRITE-IN,0
GOGEBIC,Anderson,NLP,9
GOGEBIC,Hoefling,WRITE-IN,0
GOGEBIC,Johnson,WRITE-IN,0
GOGEBIC,Obama,DEM,4058
GOGEBIC,Romney,REP,3444
GOGEBIC,Stein,GRN,43
GOGEBIC,White,WRITE-IN,0
GRATIOT,"Goode, Jr.",UST,63
GRATIOT,Alexander,WRITE-IN,0
GRATIOT,Anderson,NLP,20
GRATIOT,Hoefling,WRITE-IN,0
GRATIOT,Johnson,WRITE-IN,15
GRATIOT,Obama,DEM,7610
GRATIOT,Romney,REP,8241
GRATIOT,Stein,GRN,86
GRATIOT,White,WRITE-IN,0
HILLSDALE,"Goode, Jr.",UST,99
HILLSDALE,Alexander,WRITE-IN,0
HILLSDALE,Anderson,NLP,30
HILLSDALE,Hoefling,WRITE-IN,0
HILLSDALE,Johnson,WRITE-IN,19
HILLSDALE,Obama,DEM,7106
HILLSDALE,Romney,REP,11727
HILLSDALE,Stein,GRN,119
HILLSDALE,White,WRITE-IN,0
HOUGHTON,"Goode, Jr.",UST,74
HOUGHTON,Alexander,WRITE-IN,0
HOUGHTON,Anderson,NLP,25
HOUGHTON,Hoefling,WRITE-IN,0
HOUGHTON,Johnson,WRITE-IN,45
HOUGHTON,Obama,DEM,6801
HOUGHTON,Romney,REP,8196
HOUGHTON,Stein,GRN,141
HOUGHTON,White,WRITE-IN,0
HURON,"Goode, Jr.",UST,77
HURON,Alexander,WRITE-IN,0
HURON,Anderson,NLP,17
HURON,Hoefling,WRITE-IN,0
HURON,Johnson,WRITE-IN,6
HURON,Obama,DEM,6518
HURON,Romney,REP,8806
HURON,Stein,GRN,60
HURON,White,WRITE-IN,0
INGHAM,"Goode, Jr.",UST,395
INGHAM,Alexander,WRITE-IN,1
INGHAM,Anderson,NLP,160
INGHAM,Hoefling,WRITE-IN,6
INGHAM,Johnson,WRITE-IN,439
INGHAM,Obama,DEM,80847
INGHAM,Romney,REP,45306
INGHAM,Stein,GRN,755
INGHAM,White,WRITE-IN,1
IONIA,"Goode, Jr.",UST,194
IONIA,Alexander,WRITE-IN,0
IONIA,Anderson,NLP,47
IONIA,Hoefling,WRITE-IN,0
IONIA,Johnson,WRITE-IN,33
IONIA,Obama,DEM,11018
IONIA,Romney,REP,14315
IONIA,Stein,GRN,154
IONIA,White,WRITE-IN,0
IOSCO,"Goode, Jr.",UST,75
IOSCO,Alexander,WRITE-IN,0
IOSCO,Anderson,NLP,22
IOSCO,Hoefling,WRITE-IN,0
IOSCO,Johnson,WRITE-IN,11
IOSCO,Obama,DEM,6242
IOSCO,Romney,REP,6909
IOSCO,Stein,GRN,85
IOSCO,White,WRITE-IN,0
IRON,"Goode, Jr.",UST,34
IRON,Alexander,WRITE-IN,0
IRON,Anderson,NLP,14
IRON,Hoefling,WRITE-IN,0
IRON,Johnson,WRITE-IN,1
IRON,Obama,DEM,2687
IRON,Romney,REP,3224
IRON,Stein,GRN,28
IRON,White,WRITE-IN,0
