county,candidate,party,votes
TUSCOLA,Hoefling,WRITE-IN,0
TUSCOLA,Johnson,WRITE-IN,24
TUSCOLA,Obama,DEM,11425
TUSCOLA,Romney,REP,14240
TUSCOLA,Stein,GRN,131
TUSCOLA,White,WRITE-IN,0
VAN BUREN,"Goode, Jr.",UST,162
VAN BUREN,Alexander,WRITE-IN,0
VAN BUREN,Anderson,NLP,34
VAN BUREN,Hoefling,WRITE-IN,0
VAN BUREN,Johnson,WRITE-IN,36
VAN BUREN,Obama,DEM,16290
VAN BUREN,Romney,REP,16141
VAN BUREN,Stein,GRN,174
VAN BUREN,White,WRITE-IN,0
WASHTENAW,"Goode, Jr.",UST,359
WASHTENAW,Alexander,WRITE-IN,2
WASHTENAW,Anderson,NLP,276
WASHTENAW,Hoefling,WRITE-IN,1
WASHTENAW,Johnson,WRITE-IN,452
WASHTENAW,Obama,DEM,120890
WASHTENAW,Romney,REP,56412
WASHTENAW,Stein,GRN,1188
WASHTENAW,White,WRITE-IN,12
WAYNE,"Goode, Jr.",UST,1830
WAYNE,Alexander,WRITE-IN,6
WAYNE,Anderson,NLP,692
WAYNE,Hoefling,WRITE-IN,5
WAYNE,Johnson,WRITE-IN,873
WAYNE,Obama,DEM,595846
WAYNE,Romney,REP,213814
WAYNE,Stein,GRN,2752
WAYNE,White,WRITE-IN,7
WEXFORD,"Goode, Jr.",UST,72
WEXFORD,Alexander,WRITE-IN,21
WEXFORD,Anderson,NLP,21
WEXFORD,Hoefling,WRITE-IN,0
WEXFORD,Johnson,WRITE-IN,14
WEXFORD,Obama,DEM,6184
WEXFORD,Romney,REP,8450
WEXFORD,Stein,GRN,91
WEXFORD,White,WRITE-IN,0
