county,candidate,votes
Newton,Jill Stein / Cheri Honkala,68
Ouachita,Jill Stein / Cheri Honkala,87
Perry,Jill Stein / Cheri Honkala,54
Phillips,Jill Stein / Cheri Honkala,51
Pike,Jill Stein / Cheri Honkala,35
Poinsett,Jill Stein / Cheri Honkala,72
Polk,Jill Stein / Cheri Honkala,66
Pope,Jill Stein / Cheri Honkala,206
Prairie,Jill Stein / Cheri Honkala,51
Pulaski,Jill Stein / Cheri Honkala,1064
Randolph,Jill Stein / Cheri Honkala,79
Saline,Jill Stein / Cheri Honkala,422
Scott,Jill Stein / Cheri Honkala,35
Searcy,Jill Stein / Cheri Honkala,70
Sebastian,Jill Stein / Cheri Honkala,350
Sevier,Jill Stein / Cheri Honkala,60
Sharp,Jill Stein / Cheri Honkala,91
St. Francis,Jill Stein / Cheri Honkala,26
Stone,Jill Stein / Cheri Honkala,68
Union,Jill Stein / Cheri Honkala,61
Van Buren,Jill Stein / Cheri Honkala,76
Washington,Jill Stein / Cheri Honkala,818
White,Jill Stein / Cheri Honkala,255
Woodruff,Jill Stein / Cheri Honkala,37
Yell,Jill Stein / Cheri Honkala,89
Arkansas,Mitt Romney / Paul Ryan,3897
Ashley,Mitt Romney / Paul Ryan,4867
Baxter,Mitt Romney / Paul Ryan,13688
Benton,Mitt Romney / Paul Ryan,54646
Boone,Mitt Romney / Paul Ryan,11159
Bradley,Mitt Romney / Paul Ryan,2134
Calhoun,Mitt Romney / Paul Ryan,1458
Carroll,Mitt Romney / Paul Ryan,6125
Chicot,Mitt Romney / Paul Ryan,1670
Clark,Mitt Romney / Paul Ryan,4343
Clay,Mitt Romney / Paul Ryan,3225
Cleburne,Mitt Romney / Paul Ryan,8693
Cleveland,Mitt Romney / Paul Ryan,2313
Columbia,Mitt Romney / Paul Ryan,5790
Conway,Mitt Romney / Paul Ryan,4514
Craighead,Mitt Romney / Paul Ryan,20350
Crawford,Mitt Romney / Paul Ryan,15145
