county,candidate,votes
OTERO,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,35
OTERO,JILL STEIN AND CHERI HONKALA,58
SAN JUAN,BARACK OBAMA AND JOE BIDEN,15855
SAN JUAN,MITT ROMNEY AND PAUL RYAN,28849
SAN JUAN,VIRGIL GOODE AND JIM CLYMER,78
SAN JUAN,GARY JOHNSON AND JAMES P. GRAY,1287
SAN JUAN,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,90
SAN JUAN,JILL STEIN AND CHERI HONKALA,78
RIO ARRIBA,BARACK OBAMA AND JOE BIDEN,11465
RIO ARRIBA,MITT ROMNEY AND PAUL RYAN,3397
RIO ARRIBA,VIRGIL GOODE AND JIM CLYMER,11
RIO ARRIBA,GARY JOHNSON AND JAMES P. GRAY,418
RIO ARRIBA,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,20
RIO ARRIBA,JILL STEIN AND CHERI HONKALA,32
UNION,BARACK OBAMA AND JOE BIDEN,472
UNION,MITT ROMNEY AND PAUL RYAN,1236
UNION,VIRGIL GOODE AND JIM CLYMER,1
UNION,GARY JOHNSON AND JAMES P. GRAY,36
UNION,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,7
UNION,JILL STEIN AND CHERI HONKALA,7
LUNA,BARACK OBAMA AND JOE BIDEN,3583
LUNA,MITT ROMNEY AND PAUL RYAN,3670
LUNA,VIRGIL GOODE AND JIM CLYMER,19
LUNA,GARY JOHNSON AND JAMES P. GRAY,184
LUNA,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,15
LUNA,JILL STEIN AND CHERI HONKALA,29
TAOS,BARACK OBAMA AND JOE BIDEN,11978
TAOS,MITT ROMNEY AND PAUL RYAN,2730
TAOS,VIRGIL GOODE AND JIM CLYMER,9
TAOS,GARY JOHNSON AND JAMES P. GRAY,479
TAOS,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,31
TAOS,JILL STEIN AND CHERI HONKALA,112
SIERRA,BARACK OBAMA AND JOE BIDEN,1964
SIERRA,MITT ROMNEY AND PAUL RYAN,2928
SIERRA,VIRGIL GOODE AND JIM CLYMER,8
SIERRA,GARY JOHNSON AND JAMES P. GRAY,175
SIERRA,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,4
SIERRA,JILL STEIN AND CHERI HONKALA,23
TORRANCE,BARACK OBAMA AND JOE BIDEN,2428
TORRANCE,MITT ROMNEY AND PAUL RYAN,3529
TORRANCE,VIRGIL GOODE AND JIM CLYMER,17
TORRANCE,GARY JOHNSON AND JAMES P. GRAY,382
TORRANCE,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,17
TORRANCE,JILL STEIN AND CHERI HONKALA,29
HIDALGO,BARACK OBAMA AND JOE BIDEN,995
HIDALGO,MITT ROMNEY AND PAUL RYAN,899
HIDALGO,VIRGIL GOODE AND JIM CLYMER,2
HIDALGO,GARY JOHNSON AND JAMES P. GRAY,29
HIDALGO,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,5
HIDALGO,JILL STEIN AND CHERI HONKALA,5
GUADALUPE,BARACK OBAMA AND JOE BIDEN,1488
GUADALUPE,MITT ROMNEY AND PAUL RYAN,557
GUADALUPE,VIRGIL GOODE AND JIM CLYMER,2
GUADALUPE,GARY JOHNSON AND JAMES P. GRAY,84
GUADALUPE,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,2
GUADALUPE,JILL STEIN AND CHERI HONKALA,2
SOCORRO,BARACK OBAMA AND JOE BIDEN,4058
SOCORRO,MITT ROMNEY AND PAUL RYAN,2722
SOCORRO,VIRGIL GOODE AND JIM CLYMER,18
SOCORRO,GARY JOHNSON AND JAMES P. GRAY,344
SOCORRO,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,22
SOCORRO,JILL STEIN AND CHERI HONKALA,29
LINCOLN,BARACK OBAMA AND JOE BIDEN,2942
LINCOLN,MITT ROMNEY AND PAUL RYAN,5961
LINCOLN,VIRGIL GOODE AND JIM CLYMER,18
LINCOLN,GARY JOHNSON AND JAMES P. GRAY,297
LINCOLN,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,9
LINCOLN,JILL STEIN AND CHERI HONKALA,15
DE BACA,BARACK OBAMA AND JOE BIDEN,287
DE BACA,MITT ROMNEY AND PAUL RYAN,586
DE BACA,VIRGIL GOODE AND JIM CLYMER,2
DE BACA,GARY JOHNSON AND JAMES P. GRAY,24
DE BACA,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,0
DE BACA,JILL STEIN AND CHERI HONKALA,3
CATRON,BARACK OBAMA AND JOE BIDEN,560
CATRON,MITT ROMNEY AND PAUL RYAN,1494
CATRON,VIRGIL GOODE AND JIM CLYMER,5
CATRON,GARY JOHNSON AND JAMES P. GRAY,51
CATRON,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,9
CATRON,JILL STEIN AND CHERI HONKALA,4
SANDOVAL,BARACK OBAMA AND JOE BIDEN,27236
SANDOVAL,MITT ROMNEY AND PAUL RYAN,24387
SANDOVAL,VIRGIL GOODE AND JIM CLYMER,69
SANDOVAL,GARY JOHNSON AND JAMES P. GRAY,2185
SANDOVAL,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,62
SANDOVAL,JILL STEIN AND CHERI HONKALA,140
MORA,BARACK OBAMA AND JOE BIDEN,1955
MORA,MITT ROMNEY AND PAUL RYAN,595
MORA,VIRGIL GOODE AND JIM CLYMER,0
MORA,GARY JOHNSON AND JAMES P. GRAY,48
MORA,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,5
MORA,JILL STEIN AND CHERI HONKALA,8
HARDING,BARACK OBAMA AND JOE BIDEN,260
HARDING,MITT ROMNEY AND PAUL RYAN,327
HARDING,VIRGIL GOODE AND JIM CLYMER,1
HARDING,GARY JOHNSON AND JAMES P. GRAY,12
HARDING,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,0
HARDING,JILL STEIN AND CHERI HONKALA,1
LOS ALAMOS,BARACK OBAMA AND JOE BIDEN,5191
LOS ALAMOS,MITT ROMNEY AND PAUL RYAN,4796
LOS ALAMOS,VIRGIL GOODE AND JIM CLYMER,15
LOS ALAMOS,GARY JOHNSON AND JAMES P. GRAY,599
LOS ALAMOS,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,15
LOS ALAMOS,JILL STEIN AND CHERI HONKALA,38
CIBOLA,BARACK OBAMA AND JOE BIDEN,4961
CIBOLA,MITT ROMNEY AND PAUL RYAN,2998
CIBOLA,VIRGIL GOODE AND JIM CLYMER,11
CIBOLA,GARY JOHNSON AND JAMES P. GRAY,261
CIBOLA,ROSS C. ROCKY ANDERSON AND LUIS J. RODRIGUEZ,5
CIBOLA,JILL STEIN AND CHERI HONKALA,7
