county,candidate,votes
Lincoln,"Ross C. ""Rocky"" Anderson",7
Lincoln,Virgil H. Goode,9
Lincoln,Gary Johnson,17
Lincoln,Barack Obama,469
Lincoln,Mitt Romney,1141
Lincoln,Jill Stein,19
Madison,"Ross C. ""Rocky"" Anderson",12
Madison,Virgil H. Goode,13
Madison,Gary Johnson,84
Madison,Barack Obama,832
Madison,Mitt Romney,13445
Madison,Jill Stein,26
Minidoka,"Ross C. ""Rocky"" Anderson",34
Minidoka,Virgil H. Goode,16
Minidoka,Gary Johnson,55
Minidoka,Barack Obama,1390
Minidoka,Mitt Romney,5442
Minidoka,Jill Stein,36
Nez Perce,"Ross C. ""Rocky"" Anderson",82
Nez Perce,Virgil H. Goode,47
Nez Perce,Gary Johnson,194
Nez Perce,Barack Obama,6451
Nez Perce,Mitt Romney,9967
Nez Perce,Jill Stein,107
Oneida,"Ross C. ""Rocky"" Anderson",7
Oneida,Virgil H. Goode,2
Oneida,Gary Johnson,19
Oneida,Barack Obama,217
Oneida,Mitt Romney,1838
Oneida,Jill Stein,6
Owyhee,"Ross C. ""Rocky"" Anderson",16
Owyhee,Virgil H. Goode,26
Owyhee,Gary Johnson,31
Owyhee,Barack Obama,833
Owyhee,Mitt Romney,2794
Owyhee,Jill Stein,24
Payette,"Ross C. ""Rocky"" Anderson",26
Payette,Virgil H. Goode,22
Payette,Gary Johnson,88
Payette,Barack Obama,2271
Payette,Mitt Romney,6004
Payette,Jill Stein,84
Power,"Ross C. ""Rocky"" Anderson",13
Power,Virgil H. Goode,4
Power,Gary Johnson,21
Power,Barack Obama,982
Power,Mitt Romney,1870
Power,Jill Stein,13
Shoshone,"Ross C. ""Rocky"" Anderson",27
Shoshone,Virgil H. Goode,21
Shoshone,Gary Johnson,71
Shoshone,Barack Obama,2277
Shoshone,Mitt Romney,2699
Shoshone,Jill Stein,53
Teton,"Ross C. ""Rocky"" Anderson",21
Teton,Virgil H. Goode,8
Teton,Gary Johnson,67
Teton,Barack Obama,1926
Teton,Mitt Romney,2458
Teton,Jill Stein,43
Twin Falls,"Ross C. ""Rocky"" Anderson",145
Twin Falls,Virgil H. Goode,103
Twin Falls,Gary Johnson,348
Twin Falls,Barack Obama,7541
Twin Falls,Mitt Romney,19773
Twin Falls,Jill Stein,232
Valley,"Ross C. ""Rocky"" Anderson",22
Valley,Virgil H. Goode,17
Valley,Gary Johnson,78
Valley,Barack Obama,2095
Valley,Mitt Romney,2664
Valley,Jill Stein,43
Washington,"Ross C. ""Rocky"" Anderson",18
Washington,Virgil H. Goode,16
Washington,Gary Johnson,36
Washington,Barack Obama,1104
Washington,Mitt Romney,3128
Washington,Jill Stein,28
