fips,county,candidate,votes
39019,Carroll,"Goode, Virgil (C)",62
39019,Carroll,"Johnson, Gary (L)",173
39019,Carroll,"Obama, Barack (D)",5543
39019,Carroll,"Romney, Mitt (R)",7315
39019,Carroll,"Stein, Jill (G)",71
39019,Carroll,"Daniels, Susan (WI)",0
39019,Carroll,"Keyton, Nelson (WI)",0
39019,Carroll,"Reed, Jill (WI)",1
39019,Carroll,"Robertson, Platt (WI)",0
39019,Carroll,"Randall, Terry (WI)",0
39019,Carroll,"Vargo, Mike (WI)",0
39021,Champaign,"Alexander, Stewart (S)",9
39021,Champaign,"Duncan, Richard (I)",69
39021,Champaign,"Goode, Virgil (C)",28
39021,Champaign,"Johnson, Gary (L)",159
39021,Champaign,"Obama, Barack (D)",7044
39021,Champaign,"Romney, Mitt (R)",11045
39021,Champaign,"Stein, Jill (G)",66
39021,Champaign,"Daniels, Susan (WI)",0
39021,Champaign,"Keyton, Nelson (WI)",0
39021,Champaign,"Reed, Jill (WI)",0
39021,Champaign,"Robertson, Platt (WI)",0
39021,Champaign,"Randall, Terry (WI)",0
39021,Champaign,"Vargo, Mike (WI)",1
39023,Clark,"Alexander, Stewart (S)",29
39023,Clark,"Duncan, Richard (I)",186
39023,Clark,"Goode, Virgil (C)",91
39023,Clark,"Johnson, Gary (L)",509
39023,Clark,"Obama, Barack (D)",31298
39023,Clark,"Romney, Mitt (R)",31816
39023,Clark,"Stein, Jill (G)",215
39023,Clark,"Daniels, Susan (WI)",0
39023,Clark,"Keyton, Nelson (WI)",0
39023,Clark,"Reed, Jill (WI)",0
39023,Clark,"Robertson, Platt (WI)",0
39023,Clark,"Randall, Terry (WI)",0
39023,Clark,"Vargo, Mike (WI)",0
39025,Clermont,"Alexander, Stewart (S)",25
39025,Clermont,"Duncan, Richard (I)",153
39025,Clermont,"Goode, Virgil (C)",110
39025,Clermont,"Johnson, Gary (L)",1069
39025,Clermont,"Obama, Barack (D)",30458
39025,Clermont,"Romney, Mitt (R)",64208
