county,candidate,votes
DICKSON,Merlin Miller,19
DYER,Mitt Romney,9921
DYER,Barack Obama,3757
DYER,Virgil Goode,30
DYER,Jill Stein,23
DYER,"Ross C. ""Rocky"" Anderson",14
DYER,Gary Johnson,45
DYER,Merlin Miller,10
FAYETTE,Mitt Romney,12689
FAYETTE,Barack Obama,6688
FAYETTE,Virgil Goode,38
FAYETTE,Jill Stein,21
FAYETTE,"Ross C. ""Rocky"" Anderson",21
FAYETTE,Gary Johnson,110
FAYETTE,Merlin Miller,7
FENTRESS,Mitt Romney,5243
FENTRESS,Barack Obama,1561
FENTRESS,Virgil Goode,21
FENTRESS,Jill Stein,19
FENTRESS,"Ross C. ""Rocky"" Anderson",15
FENTRESS,Gary Johnson,30
FENTRESS,Merlin Miller,6
FRANKLIN,Mitt Romney,10262
FRANKLIN,Barack Obama,5603
FRANKLIN,Virgil Goode,74
FRANKLIN,Jill Stein,44
FRANKLIN,"Ross C. ""Rocky"" Anderson",17
FRANKLIN,Gary Johnson,107
FRANKLIN,Merlin Miller,12
GIBSON,Mitt Romney,12883
GIBSON,Barack Obama,6564
GIBSON,Virgil Goode,45
GIBSON,Jill Stein,31
GIBSON,"Ross C. ""Rocky"" Anderson",18
GIBSON,Gary Johnson,118
GIBSON,Merlin Miller,8
GILES,Mitt Romney,6915
GILES,Barack Obama,3760
GILES,Virgil Goode,36
GILES,Jill Stein,18
GILES,"Ross C. ""Rocky"" Anderson",14
GILES,Gary Johnson,52
GILES,Merlin Miller,4
GRAINGER,Mitt Romney,5470
GRAINGER,Barack Obama,1668
GRAINGER,Virgil Goode,18
GRAINGER,Jill Stein,19
GRAINGER,"Ross C. ""Rocky"" Anderson",10
GRAINGER,Gary Johnson,62
GRAINGER,Merlin Miller,5
GREENE,Mitt Romney,17245
GREENE,Barack Obama,6225
GREENE,Virgil Goode,104
GREENE,Jill Stein,69
GREENE,"Ross C. ""Rocky"" Anderson",30
GREENE,Gary Johnson,175
GREENE,Merlin Miller,39
GRUNDY,Mitt Romney,2516
GRUNDY,Barack Obama,1643
GRUNDY,Virgil Goode,27
GRUNDY,Jill Stein,7
GRUNDY,"Ross C. ""Rocky"" Anderson",9
GRUNDY,Gary Johnson,30
GRUNDY,Merlin Miller,5
HAMBLEN,Mitt Romney,14522
HAMBLEN,Barack Obama,5234
HAMBLEN,Virgil Goode,58
HAMBLEN,Jill Stein,45
HAMBLEN,"Ross C. ""Rocky"" Anderson",25
HAMBLEN,Gary Johnson,140
HAMBLEN,Merlin Miller,8
HAMILTON,Mitt Romney,79933
HAMILTON,Barack Obama,58836
HAMILTON,Virgil Goode,283
HAMILTON,Jill Stein,408
HAMILTON,"Ross C. ""Rocky"" Anderson",120
HAMILTON,Gary Johnson,1528
HAMILTON,Merlin Miller,73
HANCOCK,Mitt Romney,1527
HANCOCK,Barack Obama,475
HANCOCK,Virgil Goode,1
HANCOCK,Jill Stein,6
HANCOCK,"Ross C. ""Rocky"" Anderson",1
HANCOCK,Gary Johnson,34
HANCOCK,Merlin Miller,2
HARDEMAN,Mitt Romney,4865
HARDEMAN,Barack Obama,5482
HARDEMAN,Virgil Goode,22
HARDEMAN,Jill Stein,12
HARDEMAN,"Ross C. ""Rocky"" Anderson",10
HARDEMAN,Gary Johnson,40
HARDEMAN,Merlin Miller,8
HARDIN,Mitt Romney,7886
HARDIN,Barack Obama,2467
HARDIN,Virgil Goode,20
HARDIN,Jill Stein,15
HARDIN,"Ross C. ""Rocky"" Anderson",31
HARDIN,Gary Johnson,66
HARDIN,Merlin Miller,10
HAWKINS,Mitt Romney,14382
HAWKINS,Barack Obama,5088
HAWKINS,Virgil Goode,85
HAWKINS,Jill Stein,45
