county,candidate,votes
Allendale,Virgil Goode / Jim Clymer,10
Anderson,Virgil Goode / Jim Clymer,207
Bamberg,Virgil Goode / Jim Clymer,17
Barnwell,Virgil Goode / Jim Clymer,13
Beaufort,Virgil Goode / Jim Clymer,90
Berkeley,Virgil Goode / Jim Clymer,202
Calhoun,Virgil Goode / Jim Clymer,25
Charleston,Virgil Goode / Jim Clymer,227
Cherokee,Virgil Goode / Jim Clymer,68
Chester,Virgil Goode / Jim Clymer,34
Chesterfield,Virgil Goode / Jim Clymer,40
Clarendon,Virgil Goode / Jim Clymer,39
Colleton,Virgil Goode / Jim Clymer,33
Darlington,Virgil Goode / Jim Clymer,50
Dillon,Virgil Goode / Jim Clymer,30
Dorchester,Virgil Goode / Jim Clymer,138
Edgefield,Virgil Goode / Jim Clymer,22
Fairfield,Virgil Goode / Jim Clymer,25
Florence,Virgil Goode / Jim Clymer,133
Georgetown,Virgil Goode / Jim Clymer,40
Greenville,Virgil Goode / Jim Clymer,641
Greenwood,Virgil Goode / Jim Clymer,71
Hampton,Virgil Goode / Jim Clymer,14
Horry,Virgil Goode / Jim Clymer,178
Jasper,Virgil Goode / Jim Clymer,27
Kershaw,Virgil Goode / Jim Clymer,62
Lancaster,Virgil Goode / Jim Clymer,53
Laurens,Virgil Goode / Jim Clymer,99
Lee,Virgil Goode / Jim Clymer,28
Lexington,Virgil Goode / Jim Clymer,269
Marion,Virgil Goode / Jim Clymer,55
Marlboro,Virgil Goode / Jim Clymer,23
McCormick,Virgil Goode / Jim Clymer,7
Newberry,Virgil Goode / Jim Clymer,30
Oconee,Virgil Goode / Jim Clymer,94
Orangeburg,Virgil Goode / Jim Clymer,86
Pickens,Virgil Goode / Jim Clymer,186
Richland,Virgil Goode / Jim Clymer,474
Saluda,Virgil Goode / Jim Clymer,16
Spartanburg,Virgil Goode / Jim Clymer,303
Sumter,Virgil Goode / Jim Clymer,130
Union,Virgil Goode / Jim Clymer,42
Williamsburg,Virgil Goode / Jim Clymer,38
York,Virgil Goode / Jim Clymer,180
Abbeville,Jill Stein / Cheri Honkala,24
Aiken,Jill Stein / Cheri Honkala,211
Allendale,Jill Stein / Cheri Honkala,9
Anderson,Jill Stein / Cheri Honkala,174
Bamberg,Jill Stein / Cheri Honkala,13
Barnwell,Jill Stein / Cheri Honkala,20
Beaufort,Jill Stein / Cheri Honkala,169
Berkeley,Jill Stein / Cheri Honkala,219
Calhoun,Jill Stein / Cheri Honkala,20
Charleston,Jill Stein / Cheri Honkala,510
Cherokee,Jill Stein / Cheri Honkala,43
Chester,Jill Stein / Cheri Honkala,34
Chesterfield,Jill Stein / Cheri Honkala,47
Clarendon,Jill Stein / Cheri Honkala,34
Colleton,Jill Stein / Cheri Honkala,51
Darlington,Jill Stein / Cheri Honkala,72
Dillon,Jill Stein / Cheri Honkala,32
Dorchester,Jill Stein / Cheri Honkala,195
Edgefield,Jill Stein / Cheri Honkala,21
Fairfield,Jill Stein / Cheri Honkala,27
Florence,Jill Stein / Cheri Honkala,124
Georgetown,Jill Stein / Cheri Honkala,49
Greenville,Jill Stein / Cheri Honkala,511
Greenwood,Jill Stein / Cheri Honkala,74
Hampton,Jill Stein / Cheri Honkala,11
Horry,Jill Stein / Cheri Honkala,296
Jasper,Jill Stein / Cheri Honkala,25
Kershaw,Jill Stein / Cheri Honkala,87
Lancaster,Jill Stein / Cheri Honkala,78
Laurens,Jill Stein / Cheri Honkala,75
Lee,Jill Stein / Cheri Honkala,28
Lexington,Jill Stein / Cheri Honkala,368
Marion,Jill Stein / Cheri Honkala,44
Marlboro,Jill Stein / Cheri Honkala,9
McCormick,Jill Stein / Cheri Honkala,12
Newberry,Jill Stein / Cheri Honkala,59
Oconee,Jill Stein / Cheri Honkala,115
Orangeburg,Jill Stein / Cheri Honkala,70
Pickens,Jill Stein / Cheri Honkala,165
Richland,Jill Stein / Cheri Honkala,585
Saluda,Jill Stein / Cheri Honkala,27
Spartanburg,Jill Stein / Cheri Honkala,258
Sumter,Jill Stein / Cheri Honkala,114
Union,Jill Stein / Cheri Honkala,48
Williamsburg,Jill Stein / Cheri Honkala,66
York,Jill Stein / Cheri Honkala,223
