county,candidate,votes
Hooker,Mitt Romney,330
Hooker,Barack Obama,59
Hooker,Gary Johnson,2
Hooker,Randall A. Terry,3
Hooker,Scattering,1
Howard,Mitt Romney,1890
Howard,Barack Obama,914
Howard,Gary Johnson,33
Howard,Randall A. Terry,19
Howard,Scattering,14
Jefferson,Mitt Romney,2166
Jefferson,Barack Obama,1195
Jefferson,Gary Johnson,59
Jefferson,Randall A. Terry,16
Jefferson,Scattering,10
Johnson,Mitt Romney,1225
Johnson,Barack Obama,790
Johnson,Gary Johnson,36
Johnson,Randall A. Terry,8
Johnson,Scattering,4
Kearney,Mitt Romney,2349
Kearney,Barack Obama,773
Kearney,Gary Johnson,43
Kearney,Randall A. Terry,11
Kearney,Scattering,4
Keith,Mitt Romney,3044
Keith,Barack Obama,928
Keith,Gary Johnson,58
Keith,Randall A. Terry,13
Keith,Scattering,15
Keya Paha,Mitt Romney,393
Keya Paha,Barack Obama,80
Keya Paha,Gary Johnson,7
Keya Paha,Randall A. Terry,2
Keya Paha,Scattering,2
Kimball,Mitt Romney,1235
Kimball,Barack Obama,395
Kimball,Gary Johnson,38
Kimball,Randall A. Terry,14
Kimball,Scattering,5
Knox,Mitt Romney,2885
Knox,Barack Obama,1059
Knox,Gary Johnson,57
Knox,Randall A. Terry,25
Knox,Scattering,10
Lancaster,Mitt Romney,62434
Lancaster,Barack Obama,62015
Lancaster,Gary Johnson,1874
Lancaster,Randall A. Terry,298
Lancaster,Scattering,734
Lincoln,Mitt Romney,10728
Lincoln,Barack Obama,4450
Lincoln,Gary Johnson,315
Lincoln,Randall A. Terry,60
Lincoln,Scattering,102
Logan,Mitt Romney,356
Logan,Barack Obama,68
Logan,Gary Johnson,5
Logan,Randall A. Terry,2
Loup,Mitt Romney,290
Loup,Barack Obama,62
Loup,Gary Johnson,4
Loup,Scattering,2
Madison,Mitt Romney,10062
Madison,Barack Obama,3485
Madison,Gary Johnson,225
Madison,Randall A. Terry,56
Madison,Scattering,57
McPherson,Mitt Romney,237
McPherson,Barack Obama,41
McPherson,Gary Johnson,6
McPherson,Randall A. Terry,6
McPherson,Scattering,1
Merrick,Mitt Romney,2490
Merrick,Barack Obama,925
Merrick,Gary Johnson,46
Merrick,Randall A. Terry,14
Merrick,Scattering,14
Morrill,Mitt Romney,1681
Morrill,Barack Obama,455
Morrill,Gary Johnson,32
Morrill,Randall A. Terry,12
Morrill,Scattering,10
Nance,Mitt Romney,1106
Nance,Barack Obama,481
Nance,Gary Johnson,18
Nance,Randall A. Terry,12
Nance,Scattering,4
Nemaha,Mitt Romney,2012
Nemaha,Barack Obama,1128
Nemaha,Gary Johnson,44
Nemaha,Randall A. Terry,17
Nemaha,Scattering,13
Nuckolls,Mitt Romney,1574
Nuckolls,Barack Obama,568
Nuckolls,Gary Johnson,34
Nuckolls,Randall A. Terry,10
Nuckolls,Scattering,5
Otoe,Mitt Romney,4258
Otoe,Barack Obama,2561
Otoe,Gary Johnson,108
Otoe,Randall A. Terry,29
Otoe,Scattering,26
Pawnee,Mitt Romney,899
Pawnee,Barack Obama,400
Pawnee,Gary Johnson,26
Pawnee,Randall A. Terry,12
Pawnee,Scattering,4
Perkins,Mitt Romney,1135
Perkins,Barack Obama,238
Perkins,Gary Johnson,15
Perkins,Randall A. Terry,6
Phelps,Mitt Romney,3400
Phelps,Barack Obama,880
Phelps,Gary Johnson,72
Phelps,Randall A. Terry,10
Phelps,Scattering,18
Pierce,Mitt Romney,2707
Pierce,Barack Obama,637
Pierce,Gary Johnson,57
Pierce,Randall A. Terry,13
Pierce,Scattering,17
Platte,Mitt Romney,10061
Platte,Barack Obama,3148
Platte,Gary Johnson,139
Platte,Randall A. Terry,61
Platte,Scattering,64
Polk,Mitt Romney,1890
Polk,Barack Obama,528
Polk,Gary Johnson,24
Polk,Randall A. Terry,9
Polk,Scattering,6
Red Willow,Mitt Romney,3891
Red Willow,Barack Obama,952
Red Willow,Gary Johnson,55
Red Willow,Randall A. Terry,18
Red Willow,Scattering,20
Richardson,Mitt Romney,2443
Richardson,Barack Obama,1191
Richardson,Gary Johnson,67
Richardson,Randall A. Terry,26
Richardson,Scattering,12
Rock,Mitt Romney,672
Rock,Barack Obama,103
Rock,Gary Johnson,8
Rock,Randall A. Terry,4
Rock,Scattering,2
Saline,Mitt Romney,2557
Saline,Barack Obama,2289
Saline,Gary Johnson,64
Saline,Randall A. Terry,18
Saline,Scattering,30
Sarpy,Mitt Romney,43213
Sarpy,Barack Obama,26671
Sarpy,Gary Johnson,1106
Sarpy,Randall A. Terry,149
Sarpy,Scattering,351
Saunders,Mitt Romney,6770
Saunders,Barack Obama,3307
Saunders,Gary Johnson,167
Saunders,Randall A. Terry,33
Saunders,Scattering,35
Scotts Bluff,Mitt Romney,9648
Scotts Bluff,Barack Obama,4327
Scotts Bluff,Gary Johnson,185
Scotts Bluff,Randall A. Terry,69
Scotts Bluff,Scattering,58
Seward,Mitt Romney,5003
Seward,Barack Obama,2386
Seward,Gary Johnson,110
Seward,Randall A. Terry,29
Seward,Scattering,45
