county,candidate,votes
TULSA,MITT ROMNEY,145062
WAGONER,BARACK OBAMA,7791
WAGONER,MITT ROMNEY,20900
WASHINGTON,BARACK OBAMA,5532
WASHINGTON,MITT ROMNEY,15668
WASHITA,BARACK OBAMA,822
WASHITA,MITT ROMNEY,3494
WOODS,BARACK OBAMA,671
WOODS,MITT ROMNEY,2727
WOODWARD,BARACK OBAMA,1133
WOODWARD,MITT ROMNEY,5945
