county,candidate,votes
HUNTERDON,JEFF BOSS,30
MERCER,JEFF BOSS,24
MIDDLESEX,JEFF BOSS,83
MONMOUTH,JEFF BOSS,44
MORRIS,JEFF BOSS,114
OCEAN,JEFF BOSS,242
PASSAIC,JEFF BOSS,33
SALEM,JEFF BOSS,2
SOMERSET,JEFF BOSS,10
SUSSEX,JEFF BOSS,24
UNION,JEFF BOSS,67
WARREN,JEFF BOSS,15
ATLANTIC,JAMES HARRIS,28
BERGEN,JAMES HARRIS,63
BURLINGTON,JAMES HARRIS,25
CAMDEN,JAMES HARRIS,19
CAPE MAY,JAMES HARRIS,11
CUMBERLAND,JAMES HARRIS,14
ESSEX,JAMES HARRIS,45
GLOUCESTER,JAMES HARRIS,14
HUDSON,JAMES HARRIS,53
HUNTERDON,JAMES HARRIS,21
MERCER,JAMES HARRIS,23
MIDDLESEX,JAMES HARRIS,70
MONMOUTH,JAMES HARRIS,57
MORRIS,JAMES HARRIS,55
OCEAN,JAMES HARRIS,18
PASSAIC,JAMES HARRIS,37
SALEM,JAMES HARRIS,10
SOMERSET,JAMES HARRIS,74
SUSSEX,JAMES HARRIS,18
UNION,JAMES HARRIS,33
WARREN,JAMES HARRIS,21
ATLANTIC,MERLIN MILLER,58
BERGEN,MERLIN MILLER,56
BURLINGTON,MERLIN MILLER,35
CAMDEN,MERLIN MILLER,32
CAPE MAY,MERLIN MILLER,3
CUMBERLAND,MERLIN MILLER,27
ESSEX,MERLIN MILLER,35
GLOUCESTER,MERLIN MILLER,10
HUDSON,MERLIN MILLER,20
HUNTERDON,MERLIN MILLER,11
MERCER,MERLIN MILLER,28
MIDDLESEX,MERLIN MILLER,54
MONMOUTH,MERLIN MILLER,33
MORRIS,MERLIN MILLER,50
OCEAN,MERLIN MILLER,49
PASSAIC,MERLIN MILLER,22
SALEM,MERLIN MILLER,16
SOMERSET,MERLIN MILLER,50
SUSSEX,MERLIN MILLER,26
UNION,MERLIN MILLER,27
WARREN,MERLIN MILLER,22
ATLANTIC,PETA LINDSAY,10
BERGEN,PETA LINDSAY,45
BURLINGTON,PETA LINDSAY,26
CAMDEN,PETA LINDSAY,13
CAPE MAY,PETA LINDSAY,7
CUMBERLAND,PETA LINDSAY,5
ESSEX,PETA LINDSAY,57
GLOUCESTER,PETA LINDSAY,12
HUDSON,PETA LINDSAY,28
HUNTERDON,PETA LINDSAY,11
MERCER,PETA LINDSAY,15
MIDDLESEX,PETA LINDSAY,38
MONMOUTH,PETA LINDSAY,26
MORRIS,PETA LINDSAY,58
OCEAN,PETA LINDSAY,24
PASSAIC,PETA LINDSAY,53
SALEM,PETA LINDSAY,8
SOMERSET,PETA LINDSAY,18
SUSSEX,PETA LINDSAY,11
UNION,PETA LINDSAY,19
WARREN,PETA LINDSAY,37
