county,candidate,votes
Clay,"Jill Stein for President and Cheri Honkala for Vice President, Green",17
Clay,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",6
Coahoma,"Barack Obama for President and Joe Biden for Vice President, Democrat",7792
Coahoma,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2712
Coahoma,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",9
Coahoma,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",24
Coahoma,"Jill Stein for President and Cheri Honkala for Vice President, Green",10
Coahoma,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",2
Copiah,"Barack Obama for President and Joe Biden for Vice President, Democrat",7749
Copiah,"Mitt Romney for President and Paul Ryan for Vice President, Republican",6282
Copiah,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",25
Copiah,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",42
Copiah,"Jill Stein for President and Cheri Honkala for Vice President, Green",15
Copiah,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",10
Covington,"Barack Obama for President and Joe Biden for Vice President, Democrat",3878
Covington,"Mitt Romney for President and Paul Ryan for Vice President, Republican",5405
Covington,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",18
Covington,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",32
Covington,"Jill Stein for President and Cheri Honkala for Vice President, Green",7
Covington,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",8
Desoto,"Barack Obama for President and Joe Biden for Vice President, Democrat",21575
Desoto,"Mitt Romney for President and Paul Ryan for Vice President, Republican",43559
Desoto,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",105
Desoto,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",438
Desoto,"Jill Stein for President and Cheri Honkala for Vice President, Green",73
Desoto,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",44
Forrest,"Barack Obama for President and Joe Biden for Vice President, Democrat",13272
Forrest,"Mitt Romney for President and Paul Ryan for Vice President, Republican",16574
Forrest,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",47
Forrest,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",255
Forrest,"Jill Stein for President and Cheri Honkala for Vice President, Green",69
Forrest,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",19
Franklin,"Barack Obama for President and Joe Biden for Vice President, Democrat",1726
Franklin,"Mitt Romney for President and Paul Ryan for Vice President, Republican",2735
Franklin,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",8
Franklin,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",15
Franklin,"Jill Stein for President and Cheri Honkala for Vice President, Green",5
Franklin,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",4
George,"Barack Obama for President and Joe Biden for Vice President, Democrat",1359
George,"Mitt Romney for President and Paul Ryan for Vice President, Republican",8376
George,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",37
George,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",51
George,"Jill Stein for President and Cheri Honkala for Vice President, Green",19
George,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",14
Greene,"Barack Obama for President and Joe Biden for Vice President, Democrat",1325
Greene,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4531
Greene,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",19
Greene,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",35
Greene,"Jill Stein for President and Cheri Honkala for Vice President, Green",6
Greene,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",6
Grenada,"Barack Obama for President and Joe Biden for Vice President, Democrat",5288
Grenada,"Mitt Romney for President and Paul Ryan for Vice President, Republican",5986
Grenada,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",19
Grenada,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",24
Grenada,"Jill Stein for President and Cheri Honkala for Vice President, Green",13
Grenada,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",5
Hancock,"Barack Obama for President and Joe Biden for Vice President, Democrat",3917
Hancock,"Mitt Romney for President and Paul Ryan for Vice President, Republican",12964
Hancock,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",38
Hancock,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",185
Hancock,"Jill Stein for President and Cheri Honkala for Vice President, Green",39
Hancock,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",24
Harrison,"Barack Obama for President and Joe Biden for Vice President, Democrat",23119
Harrison,"Mitt Romney for President and Paul Ryan for Vice President, Republican",39470
Harrison,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",88
Harrison,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",464
Harrison,"Jill Stein for President and Cheri Honkala for Vice President, Green",107
Harrison,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",80
Hinds,"Barack Obama for President and Joe Biden for Vice President, Democrat",76112
Hinds,"Mitt Romney for President and Paul Ryan for Vice President, Republican",29664
Hinds,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",142
Hinds,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",359
Hinds,"Jill Stein for President and Cheri Honkala for Vice President, Green",139
Hinds,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",75
Holmes,"Barack Obama for President and Joe Biden for Vice President, Democrat",7812
Holmes,"Mitt Romney for President and Paul Ryan for Vice President, Republican",1435
Holmes,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",11
Holmes,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",17
Holmes,"Jill Stein for President and Cheri Honkala for Vice President, Green",6
Holmes,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",7
Humphreys,"Barack Obama for President and Joe Biden for Vice President, Democrat",3903
Humphreys,"Mitt Romney for President and Paul Ryan for Vice President, Republican",1293
Humphreys,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",2
Humphreys,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",7
Humphreys,"Jill Stein for President and Cheri Honkala for Vice President, Green",2
Humphreys,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",5
Issaquena,"Barack Obama for President and Joe Biden for Vice President, Democrat",479
Issaquena,"Mitt Romney for President and Paul Ryan for Vice President, Republican",302
Issaquena,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",1
Issaquena,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",4
Issaquena,"Jill Stein for President and Cheri Honkala for Vice President, Green",1
Issaquena,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",0
Itawamba,"Barack Obama for President and Joe Biden for Vice President, Democrat",1706
Itawamba,"Mitt Romney for President and Paul Ryan for Vice President, Republican",7393
Itawamba,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",77
Itawamba,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",106
Itawamba,"Jill Stein for President and Cheri Honkala for Vice President, Green",17
Itawamba,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",19
Jackson,"Barack Obama for President and Joe Biden for Vice President, Democrat",17299
Jackson,"Mitt Romney for President and Paul Ryan for Vice President, Republican",35747
Jackson,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",102
Jackson,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",396
Jackson,"Jill Stein for President and Cheri Honkala for Vice President, Green",84
Jackson,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",27
Jasper,"Barack Obama for President and Joe Biden for Vice President, Democrat",5097
Jasper,"Mitt Romney for President and Paul Ryan for Vice President, Republican",4193
Jasper,"Virgil Goode for President and Jim Clymer for Vice President, Constitution",16
Jasper,"Gary Johnson for President and James P. Gray for Vice President, Libertarian",24
Jasper,"Jill Stein for President and Cheri Honkala for Vice President, Green",4
Jasper,"Barbara Dale Washer for President and Cathy L. Toole for Vice President, Reform",6
Jefferson Davis,"Barack Obama for President and Joe Biden for Vice President, Democrat",4267
