county,candidate,votes
Morgan,MITT ROMNEY,4513
Morgan,RANDALL TERRY,48
Nicholas,BARACK OBAMA,2664
Nicholas,GARY JOHNSON,92
Nicholas,JILL STEIN,60
Nicholas,MITT ROMNEY,5898
Nicholas,RANDALL TERRY,71
Ohio,BARACK OBAMA,6786
Ohio,GARY JOHNSON,191
Ohio,JILL STEIN,107
Ohio,MITT ROMNEY,10768
Ohio,RANDALL TERRY,59
Pendleton,BARACK OBAMA,1074
Pendleton,GARY JOHNSON,15
Pendleton,JILL STEIN,30
Pendleton,MITT ROMNEY,2095
Pendleton,RANDALL TERRY,25
Pleasants,BARACK OBAMA,955
Pleasants,GARY JOHNSON,26
Pleasants,JILL STEIN,17
Pleasants,MITT ROMNEY,1825
Pleasants,RANDALL TERRY,17
Pocahontas,BARACK OBAMA,1303
Pocahontas,GARY JOHNSON,33
Pocahontas,JILL STEIN,33
Pocahontas,MITT ROMNEY,2182
Pocahontas,RANDALL TERRY,25
Preston,BARACK OBAMA,2931
Preston,GARY JOHNSON,128
Preston,JILL STEIN,106
Preston,MITT ROMNEY,7889
Preston,RANDALL TERRY,101
Putnam,BARACK OBAMA,7256
Putnam,GARY JOHNSON,190
Putnam,JILL STEIN,113
Putnam,MITT ROMNEY,16032
Putnam,RANDALL TERRY,82
Raleigh,BARACK OBAMA,7739
Raleigh,GARY JOHNSON,217
Raleigh,JILL STEIN,141
Raleigh,MITT ROMNEY,20614
Raleigh,RANDALL TERRY,118
Randolph,BARACK OBAMA,3342
Randolph,GARY JOHNSON,99
Randolph,JILL STEIN,94
Randolph,MITT ROMNEY,6160
Randolph,RANDALL TERRY,59
Ritchie,BARACK OBAMA,768
Ritchie,GARY JOHNSON,36
Ritchie,JILL STEIN,32
Ritchie,MITT ROMNEY,2921
Ritchie,RANDALL TERRY,31
Roane,BARACK OBAMA,1939
Roane,GARY JOHNSON,39
Roane,JILL STEIN,44
Roane,MITT ROMNEY,2982
Roane,RANDALL TERRY,43
Summers,BARACK OBAMA,1621
Summers,GARY JOHNSON,56
Summers,JILL STEIN,48
Summers,MITT ROMNEY,2981
Summers,RANDALL TERRY,29
Taylor,BARACK OBAMA,1941
Taylor,GARY JOHNSON,44
Taylor,JILL STEIN,48
Taylor,MITT ROMNEY,3840
Taylor,RANDALL TERRY,35
Tucker,BARACK OBAMA,880
Tucker,GARY JOHNSON,30
Tucker,JILL STEIN,20
Tucker,MITT ROMNEY,2176
Tucker,RANDALL TERRY,32
Tyler,BARACK OBAMA,890
Tyler,GARY JOHNSON,29
Tyler,JILL STEIN,24
Tyler,MITT ROMNEY,2314
Tyler,RANDALL TERRY,22
Upshur,BARACK OBAMA,2158
Upshur,GARY JOHNSON,76
Upshur,JILL STEIN,49
Upshur,MITT ROMNEY,5939
Upshur,RANDALL TERRY,51
Wayne,BARACK OBAMA,4931
Wayne,GARY JOHNSON,143
Wayne,JILL STEIN,85
Wayne,MITT ROMNEY,8688
Wayne,RANDALL TERRY,108
Webster,BARACK OBAMA,947
Webster,GARY JOHNSON,21
Webster,JILL STEIN,29
Webster,MITT ROMNEY,1710
Webster,RANDALL TERRY,48
Wetzel,BARACK OBAMA,2217
Wetzel,GARY JOHNSON,65
Wetzel,JILL STEIN,57
Wetzel,MITT ROMNEY,3473
Wetzel,RANDALL TERRY,44
Wirt,BARACK OBAMA,676
Wirt,GARY JOHNSON,27
Wirt,JILL STEIN,12
Wirt,MITT ROMNEY,1427
Wirt,RANDALL TERRY,29
Wood,BARACK OBAMA,11230
Wood,GARY JOHNSON,264
Wood,JILL STEIN,160
Wood,MITT ROMNEY,22183
Wood,RANDALL TERRY,140
Wyoming,BARACK OBAMA,1583
Wyoming,GARY JOHNSON,52
Wyoming,JILL STEIN,53
Wyoming,MITT ROMNEY,5769
Wyoming,RANDALL TERRY,66
