county,candidate,votes
Carlton,JIM CARLSON AND GEORGE MCMAHON,29
Carlton,PETA LINDSAY AND YARI OSORIO,1
Carlton,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",15
Carlton,WRITE-IN**,80
Carver,MITT ROMNEY AND PAUL RYAN,31155
Carver,BARACK OBAMA AND JOE BIDEN,20745
Carver,GARY JOHNSON AND JIM GRAY,555
Carver,JAMES HARRIS AND MAURA DELUCA,7
Carver,VIRGIL GOODE AND JIM CLYMER,42
Carver,DEAN MORSTAD AND JOSH FRANKE-HYLAND,12
Carver,JILL STEIN AND CHERI HONKALA,164
Carver,JIM CARLSON AND GEORGE MCMAHON,35
Carver,PETA LINDSAY AND YARI OSORIO,7
Carver,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",25
Carver,WRITE-IN**,152
Cass,MITT ROMNEY AND PAUL RYAN,8957
Cass,BARACK OBAMA AND JOE BIDEN,6858
Cass,GARY JOHNSON AND JIM GRAY,116
Cass,JAMES HARRIS AND MAURA DELUCA,5
Cass,VIRGIL GOODE AND JIM CLYMER,27
Cass,DEAN MORSTAD AND JOSH FRANKE-HYLAND,6
Cass,JILL STEIN AND CHERI HONKALA,63
Cass,JIM CARLSON AND GEORGE MCMAHON,32
Cass,PETA LINDSAY AND YARI OSORIO,4
Cass,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",12
Cass,WRITE-IN**,61
Chippewa,MITT ROMNEY AND PAUL RYAN,2967
Chippewa,BARACK OBAMA AND JOE BIDEN,3083
Chippewa,GARY JOHNSON AND JIM GRAY,72
Chippewa,JAMES HARRIS AND MAURA DELUCA,5
Chippewa,VIRGIL GOODE AND JIM CLYMER,10
Chippewa,DEAN MORSTAD AND JOSH FRANKE-HYLAND,2
Chippewa,JILL STEIN AND CHERI HONKALA,20
Chippewa,JIM CARLSON AND GEORGE MCMAHON,14
Chippewa,PETA LINDSAY AND YARI OSORIO,1
Chippewa,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",2
Chippewa,WRITE-IN**,25
Chisago,MITT ROMNEY AND PAUL RYAN,16227
Chisago,BARACK OBAMA AND JOE BIDEN,12524
Chisago,GARY JOHNSON AND JIM GRAY,338
Chisago,JAMES HARRIS AND MAURA DELUCA,10
Chisago,VIRGIL GOODE AND JIM CLYMER,52
Chisago,DEAN MORSTAD AND JOSH FRANKE-HYLAND,8
Chisago,JILL STEIN AND CHERI HONKALA,106
