county,candidate,votes
Cerro Gordo,Mitt Romney/Paul Ryan,10128
Cerro Gordo,Barack Obama/Joe Biden,13316
Cerro Gordo,Virgil Goode/James Clymer,44
Cerro Gordo,Jill Stein/Cheri Honkala,48
Cerro Gordo,Gary Johnson/James P. Gray,147
Cerro Gordo,Gloria LaRiva/Stefanie Beacham,6
Cerro Gordo,James Harris/Alyson Kennedy,7
Cerro Gordo,Jerry Litzel/Jim Litzel,12
Cerro Gordo,Write-In,116
Cherokee,Mitt Romney/Paul Ryan,3662
Cherokee,Barack Obama/Joe Biden,2634
Cherokee,Virgil Goode/James Clymer,12
Cherokee,Jill Stein/Cheri Honkala,19
Cherokee,Gary Johnson/James P. Gray,45
Cherokee,Gloria LaRiva/Stefanie Beacham,3
Cherokee,James Harris/Alyson Kennedy,5
Cherokee,Jerry Litzel/Jim Litzel,4
Cherokee,Write-In,31
Chickasaw,Mitt Romney/Paul Ryan,2836
Chickasaw,Barack Obama/Joe Biden,3554
Chickasaw,Virgil Goode/James Clymer,15
Chickasaw,Jill Stein/Cheri Honkala,15
Chickasaw,Gary Johnson/James P. Gray,35
Chickasaw,Gloria LaRiva/Stefanie Beacham,3
Chickasaw,James Harris/Alyson Kennedy,2
Chickasaw,Jerry Litzel/Jim Litzel,4
Chickasaw,Write-In,20
Clarke,Mitt Romney/Paul Ryan,2124
Clarke,Barack Obama/Joe Biden,2189
Clarke,Virgil Goode/James Clymer,18
Clarke,Jill Stein/Cheri Honkala,17
Clarke,Gary Johnson/James P. Gray,38
Clarke,Gloria LaRiva/Stefanie Beacham,2
Clarke,James Harris/Alyson Kennedy,2
Clarke,Jerry Litzel/Jim Litzel,10
Clarke,Write-In,30
Clay,Mitt Romney/Paul Ryan,4951
Clay,Barack Obama/Joe Biden,3385
Clay,Virgil Goode/James Clymer,13
Clay,Jill Stein/Cheri Honkala,24
Clay,Gary Johnson/James P. Gray,58
Clay,Gloria LaRiva/Stefanie Beacham,0
Clay,James Harris/Alyson Kennedy,5
Clay,Jerry Litzel/Jim Litzel,5
Clay,Write-In,61
Clayton,Mitt Romney/Paul Ryan,4164
Clayton,Barack Obama/Joe Biden,4806
Clayton,Virgil Goode/James Clymer,19
Clayton,Jill Stein/Cheri Honkala,33
Clayton,Gary Johnson/James P. Gray,57
Clayton,Gloria LaRiva/Stefanie Beacham,3
Clayton,James Harris/Alyson Kennedy,5
Clayton,Jerry Litzel/Jim Litzel,4
Clayton,Write-In,47
Clinton,Mitt Romney/Paul Ryan,9432
Clinton,Barack Obama/Joe Biden,15141
Clinton,Virgil Goode/James Clymer,61
Clinton,Jill Stein/Cheri Honkala,55
Clinton,Gary Johnson/James P. Gray,187
Clinton,Gloria LaRiva/Stefanie Beacham,2
Clinton,James Harris/Alyson Kennedy,6
Clinton,Jerry Litzel/Jim Litzel,16
Clinton,Write-In,100
Crawford,Mitt Romney/Paul Ryan,3595
Crawford,Barack Obama/Joe Biden,3066
Crawford,Virgil Goode/James Clymer,9
Crawford,Jill Stein/Cheri Honkala,16
Crawford,Gary Johnson/James P. Gray,32
Crawford,Gloria LaRiva/Stefanie Beacham,4
Crawford,James Harris/Alyson Kennedy,3
Crawford,Jerry Litzel/Jim Litzel,3
Crawford,Write-In,24
Dallas,Mitt Romney/Paul Ryan,20988
Dallas,Barack Obama/Joe Biden,16576
Dallas,Virgil Goode/James Clymer,57
Dallas,Jill Stein/Cheri Honkala,49
Dallas,Gary Johnson/James P. Gray,273
Dallas,Gloria LaRiva/Stefanie Beacham,6
Dallas,James Harris/Alyson Kennedy,4
Dallas,Jerry Litzel/Jim Litzel,24
Dallas,Write-In,139
Davis,Mitt Romney/Paul Ryan,2138
Davis,Barack Obama/Joe Biden,1520
Davis,Virgil Goode/James Clymer,32
Davis,Jill Stein/Cheri Honkala,10
Davis,Gary Johnson/James P. Gray,38
Davis,Gloria LaRiva/Stefanie Beacham,2
Davis,James Harris/Alyson Kennedy,1
Davis,Jerry Litzel/Jim Litzel,4
Davis,Write-In,28
Decatur,Mitt Romney/Paul Ryan,1947
Decatur,Barack Obama/Joe Biden,1791
Decatur,Virgil Goode/James Clymer,12
Decatur,Jill Stein/Cheri Honkala,15
Decatur,Gary Johnson/James P. Gray,33
Decatur,Gloria LaRiva/Stefanie Beacham,3
Decatur,James Harris/Alyson Kennedy,5
Decatur,Jerry Litzel/Jim Litzel,9
Decatur,Write-In,18
Delaware,Mitt Romney/Paul Ryan,4636
Delaware,Barack Obama/Joe Biden,4616
Delaware,Virgil Goode/James Clymer,10
Delaware,Jill Stein/Cheri Honkala,24
Delaware,Gary Johnson/James P. Gray,46
Delaware,Gloria LaRiva/Stefanie Beacham,3
Delaware,James Harris/Alyson Kennedy,2
Delaware,Jerry Litzel/Jim Litzel,5
Delaware,Write-In,36
Des Moines,Mitt Romney/Paul Ryan,8136
Des Moines,Barack Obama/Joe Biden,11888
Des Moines,Virgil Goode/James Clymer,33
Des Moines,Jill Stein/Cheri Honkala,68
Des Moines,Gary Johnson/James P. Gray,137
Des Moines,Gloria LaRiva/Stefanie Beacham,6
Des Moines,James Harris/Alyson Kennedy,7
Des Moines,Jerry Litzel/Jim Litzel,10
Des Moines,Write-In,100
Dickinson,Mitt Romney/Paul Ryan,5912
Dickinson,Barack Obama/Joe Biden,4095
Dickinson,Virgil Goode/James Clymer,18
Dickinson,Jill Stein/Cheri Honkala,23
Dickinson,Gary Johnson/James P. Gray,68
Dickinson,Gloria LaRiva/Stefanie Beacham,2
Dickinson,James Harris/Alyson Kennedy,2
Dickinson,Jerry Litzel/Jim Litzel,6
Dickinson,Write-In,33
Dubuque,Mitt Romney/Paul Ryan,21280
Dubuque,Barack Obama/Joe Biden,28768
Dubuque,Virgil Goode/James Clymer,65
Dubuque,Jill Stein/Cheri Honkala,111
Dubuque,Gary Johnson/James P. Gray,438
Dubuque,Gloria LaRiva/Stefanie Beacham,9
Dubuque,James Harris/Alyson Kennedy,13
Dubuque,Jerry Litzel/Jim Litzel,13
Dubuque,Write-In,197
Emmet,Mitt Romney/Paul Ryan,2507
Emmet,Barack Obama/Joe Biden,2099
Emmet,Virgil Goode/James Clymer,10
Emmet,Jill Stein/Cheri Honkala,16
Emmet,Gary Johnson/James P. Gray,27
Emmet,Gloria LaRiva/Stefanie Beacham,2
Emmet,James Harris/Alyson Kennedy,3
Emmet,Jerry Litzel/Jim Litzel,2
Emmet,Write-In,21
Fayette,Mitt Romney/Paul Ryan,4492
Fayette,Barack Obama/Joe Biden,5732
Fayette,Virgil Goode/James Clymer,21
Fayette,Jill Stein/Cheri Honkala,28
Fayette,Gary Johnson/James P. Gray,56
Fayette,Gloria LaRiva/Stefanie Beacham,0
Fayette,James Harris/Alyson Kennedy,2
Fayette,Jerry Litzel/Jim Litzel,11
Fayette,Write-In,24
Floyd,Mitt Romney/Paul Ryan,3472
Floyd,Barack Obama/Joe Biden,4680
Floyd,Virgil Goode/James Clymer,11
Floyd,Jill Stein/Cheri Honkala,22
Floyd,Gary Johnson/James P. Gray,43
Floyd,Gloria LaRiva/Stefanie Beacham,2
Floyd,James Harris/Alyson Kennedy,2
Floyd,Jerry Litzel/Jim Litzel,8
Floyd,Write-In,17
Franklin,Mitt Romney/Paul Ryan,2823
Franklin,Barack Obama/Joe Biden,2266
Franklin,Virgil Goode/James Clymer,12
Franklin,Jill Stein/Cheri Honkala,7
Franklin,Gary Johnson/James P. Gray,33
Franklin,Gloria LaRiva/Stefanie Beacham,2
Franklin,James Harris/Alyson Kennedy,0
Franklin,Jerry Litzel/Jim Litzel,5
Franklin,Write-In,38
Fremont,Mitt Romney/Paul Ryan,1972
Fremont,Barack Obama/Joe Biden,1637
Fremont,Virgil Goode/James Clymer,5
Fremont,Jill Stein/Cheri Honkala,9
Fremont,Gary Johnson/James P. Gray,24
Fremont,Gloria LaRiva/Stefanie Beacham,5
Fremont,James Harris/Alyson Kennedy,3
Fremont,Jerry Litzel/Jim Litzel,2
Fremont,Write-In,11
Greene,Mitt Romney/Paul Ryan,2380
Greene,Barack Obama/Joe Biden,2375
Greene,Virgil Goode/James Clymer,11
Greene,Jill Stein/Cheri Honkala,8
Greene,Gary Johnson/James P. Gray,30
Greene,Gloria LaRiva/Stefanie Beacham,3
Greene,James Harris/Alyson Kennedy,5
Greene,Jerry Litzel/Jim Litzel,6
Greene,Write-In,28
Grundy,Mitt Romney/Paul Ryan,4215
Grundy,Barack Obama/Joe Biden,2635
