county,candidate,votes
Lewis,Mitt Romney,2677 
Lincoln,Mitt Romney,14332 
Linn,Mitt Romney,3344 
Livingston,Mitt Romney,4006 
Macon,Mitt Romney,4701 
Madison,Mitt Romney,3227 
Maries,Mitt Romney,3165 
Marion,Mitt Romney,7923 
McDonald,Mitt Romney,5694 
Mercer,Mitt Romney,1255 
Miller,Mitt Romney,8099 
Mississippi,Mitt Romney,2997 
Moniteau,Mitt Romney,4704 
Monroe,Mitt Romney,2564 
Montgomery,Mitt Romney,3490 
Morgan,Mitt Romney,5733 
New Madrid,Mitt Romney,4284 
Newton,Mitt Romney,18181 
Nodaway,Mitt Romney,5593 
Oregon,Mitt Romney,2886 
Osage,Mitt Romney,5329 
Ozark,Mitt Romney,3080 
Pemiscot,Mitt Romney,3598 
Perry,Mitt Romney,5669 
Pettis,Mitt Romney,10842 
Phelps,Mitt Romney,11895 
Pike,Mitt Romney,4577 
Platte,Mitt Romney,25618 
Polk,Mitt Romney,9252 
Pulaski,Mitt Romney,9092 
Putnam,Mitt Romney,1673 
Ralls,Mitt Romney,3231 
Randolph,Mitt Romney,6667 
Ray,Mitt Romney,5815 
Reynolds,Mitt Romney,1931 
Ripley,Mitt Romney,3743 
Saline,Mitt Romney,5104 
Schuyler,Mitt Romney,1174 
Scotland,Mitt Romney,1246 
Scott,Mitt Romney,11623 
Shannon,Mitt Romney,2262 
Shelby,Mitt Romney,2188 
St. Charles,Mitt Romney,110784 
St. Clair,Mitt Romney,3019 
St. Francois,Mitt Romney,13248 
St. Louis City,Mitt Romney,22943 
St. Louis County,Mitt Romney,224742 
Ste. Genevieve,Mitt Romney,4055 
Stoddard,Mitt Romney,9496 
Stone,Mitt Romney,11787 
Sullivan,Mitt Romney,1610 
Taney,Mitt Romney,15746 
Texas,Mitt Romney,7618 
Vernon,Mitt Romney,5758 
Warren,Mitt Romney,9150 
Washington,Mitt Romney,5071 
Wayne,Mitt Romney,3790 
Webster,Mitt Romney,10708 
Worth,Mitt Romney,664 
Wright,Mitt Romney,5830 
Adair,Gary Johnson,225 
Andrew,Gary Johnson,164 
Atchison,Gary Johnson,45 
Audrain,Gary Johnson,188 
Barry,Gary Johnson,244 
Barton,Gary Johnson,87 
Bates,Gary Johnson,157 
Benton,Gary Johnson,138 
Bollinger,Gary Johnson,114 
Boone,Gary Johnson,1948 
Buchanan,Gary Johnson,702 
Butler,Gary Johnson,238 
Caldwell,Gary Johnson,109 
Callaway,Gary Johnson,353 
Camden,Gary Johnson,332 
Cape Girardeau,Gary Johnson,560 
Carroll,Gary Johnson,62 
Carter,Gary Johnson,49 
Cass,Gary Johnson,798 
Cedar,Gary Johnson,104 
Chariton,Gary Johnson,66 
Christian,Gary Johnson,566 
Clark,Gary Johnson,79 
Clay,Gary Johnson,1829 
Clinton,Gary Johnson,201 
Cole,Gary Johnson,510 
Cooper,Gary Johnson,125 
Crawford,Gary Johnson,153 
Dade,Gary Johnson,51 
Dallas,Gary Johnson,111 
Daviess,Gary Johnson,93 
De Kalb,Gary Johnson,76 
Dent,Gary Johnson,125 
Douglas,Gary Johnson,150 
Dunklin,Gary Johnson,131 
Franklin,Gary Johnson,835 
Gasconade,Gary Johnson,117 
Gentry,Gary Johnson,63 
Greene,Gary Johnson,2362 
Grundy,Gary Johnson,106 
Harrison,Gary Johnson,67 
Henry,Gary Johnson,240 
Hickory,Gary Johnson,88 
Holt,Gary Johnson,31 
Howard,Gary Johnson,115 
Howell,Gary Johnson,322 
Iron,Gary Johnson,89 
Jackson,Gary Johnson,2721 
Jasper,Gary Johnson,919 
Jefferson,Gary Johnson,1715 
Johnson,Gary Johnson,501 
Kansas City,Gary Johnson,1412 
Knox,Gary Johnson,41 
Laclede,Gary Johnson,277 
Lafayette,Gary Johnson,277 
Lawrence,Gary Johnson,251 
Lewis,Gary Johnson,74 
Lincoln,Gary Johnson,476 
Linn,Gary Johnson,137 
Livingston,Gary Johnson,127 
Macon,Gary Johnson,119 
Madison,Gary Johnson,100 
Maries,Gary Johnson,61 
Marion,Gary Johnson,188 
McDonald,Gary Johnson,161 
Mercer,Gary Johnson,36 
Miller,Gary Johnson,232 
Mississippi,Gary Johnson,59 
Moniteau,Gary Johnson,108 
Monroe,Gary Johnson,83 
Montgomery,Gary Johnson,77 
Morgan,Gary Johnson,149 
New Madrid,Gary Johnson,127 
Newton,Gary Johnson,398 
Nodaway,Gary Johnson,173 
Oregon,Gary Johnson,84 
Osage,Gary Johnson,102 
Ozark,Gary Johnson,86 
Pemiscot,Gary Johnson,58 
Perry,Gary Johnson,117 
Pettis,Gary Johnson,366 
Phelps,Gary Johnson,431 
Pike,Gary Johnson,117 
Platte,Gary Johnson,662 
Polk,Gary Johnson,230 
Pulaski,Gary Johnson,229 
Putnam,Gary Johnson,41 
Ralls,Gary Johnson,51 
Randolph,Gary Johnson,213 
Ray,Gary Johnson,224 
Reynolds,Gary Johnson,94 
Ripley,Gary Johnson,102 
Saline,Gary Johnson,189 
Schuyler,Gary Johnson,58 
Scotland,Gary Johnson,40 
Scott,Gary Johnson,219 
Shannon,Gary Johnson,91 
Shelby,Gary Johnson,65 
St. Charles,Gary Johnson,2709 
St. Clair,Gary Johnson,115 
St. Francois,Gary Johnson,448 
St. Louis City,Gary Johnson,1674 
St. Louis County,Gary Johnson,5748 
Ste. Genevieve,Gary Johnson,169 
Stoddard,Gary Johnson,187 
Stone,Gary Johnson,236 
Sullivan,Gary Johnson,51 
Taney,Gary Johnson,349 
