county,candidate,party,write-in,votes
Montgomery,Leon Leo Ray,Other, (Write In),0
Montgomery,Michael David Boyles,Unaffiliated, (Write In),1
Montgomery,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Montgomery,Chehade/ McAllister,Unaffiliated, (Write In),0
Prince George's,Durham/ Lopez,Other, (Write In),0
Prince George's,Miller/ Bertram,Other, (Write In),1
Prince George's,Leon Leo Ray,Other, (Write In),0
Prince George's,Michael David Boyles,Unaffiliated, (Write In),1
Prince George's,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Prince George's,Chehade/ McAllister,Unaffiliated, (Write In),4
Queen Anne's,Durham/ Lopez,Other, (Write In),0
Queen Anne's,Miller/ Bertram,Other, (Write In),0
Queen Anne's,Leon Leo Ray,Other, (Write In),0
Queen Anne's,Michael David Boyles,Unaffiliated, (Write In),0
Queen Anne's,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Queen Anne's,Chehade/ McAllister,Unaffiliated, (Write In),0
St. Mary's,Durham/ Lopez,Other, (Write In),0
St. Mary's,Miller/ Bertram,Other, (Write In),0
St. Mary's,Leon Leo Ray,Other, (Write In),0
St. Mary's,Michael David Boyles,Unaffiliated, (Write In),0
St. Mary's,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
St. Mary's,Chehade/ McAllister,Unaffiliated, (Write In),0
Somerset,Durham/ Lopez,Other, (Write In),0
Somerset,Miller/ Bertram,Other, (Write In),0
Somerset,Leon Leo Ray,Other, (Write In),0
Somerset,Michael David Boyles,Unaffiliated, (Write In),0
Somerset,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Somerset,Chehade/ McAllister,Unaffiliated, (Write In),0
Talbot,Durham/ Lopez,Other, (Write In),0
Talbot,Miller/ Bertram,Other, (Write In),0
Talbot,Leon Leo Ray,Other, (Write In),0
Talbot,Michael David Boyles,Unaffiliated, (Write In),1
Talbot,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Talbot,Chehade/ McAllister,Unaffiliated, (Write In),0
Washington,Durham/ Lopez,Other, (Write In),0
Washington,Miller/ Bertram,Other, (Write In),0
Washington,Leon Leo Ray,Other, (Write In),0
Washington,Michael David Boyles,Unaffiliated, (Write In),0
Washington,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Washington,Chehade/ McAllister,Unaffiliated, (Write In),1
Wicomico,Durham/ Lopez,Other, (Write In),0
Wicomico,Miller/ Bertram,Other, (Write In),0
Wicomico,Leon Leo Ray,Other, (Write In),0
Wicomico,Michael David Boyles,Unaffiliated, (Write In),0
Wicomico,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Wicomico,Chehade/ McAllister,Unaffiliated, (Write In),0
Worcester,Durham/ Lopez,Other, (Write In),0
Worcester,Miller/ Bertram,Other, (Write In),1
Worcester,Leon Leo Ray,Other, (Write In),0
Worcester,Michael David Boyles,Unaffiliated, (Write In),0
Worcester,"Theodis (Ted)  Brown, Sr.",Unaffiliated, (Write In),0
Worcester,Chehade/ McAllister,Unaffiliated, (Write In),0
Allegany,David M. Crosby,Unaffiliated, (Write In),1
Allegany,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Allegany,Robert William Dietz,Unaffiliated, (Write In),0
Allegany,Dwight Kenneth French,Unaffiliated, (Write In),0
Allegany,Darrell  Hykes,Unaffiliated, (Write In),0
Allegany,Nelson  Keyton,Unaffiliated, (Write In),0
Anne Arundel,David M. Crosby,Unaffiliated, (Write In),0
Anne Arundel,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Anne Arundel,Robert William Dietz,Unaffiliated, (Write In),0
Anne Arundel,Dwight Kenneth French,Unaffiliated, (Write In),0
Anne Arundel,Darrell  Hykes,Unaffiliated, (Write In),0
Anne Arundel,Nelson  Keyton,Unaffiliated, (Write In),0
Baltimore City,David M. Crosby,Unaffiliated, (Write In),0
Baltimore City,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),2
Baltimore City,Robert William Dietz,Unaffiliated, (Write In),0
Baltimore City,Dwight Kenneth French,Unaffiliated, (Write In),0
Baltimore City,Darrell  Hykes,Unaffiliated, (Write In),0
Baltimore City,Nelson  Keyton,Unaffiliated, (Write In),0
Baltimore,David M. Crosby,Unaffiliated, (Write In),2
Baltimore,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),2
Baltimore,Robert William Dietz,Unaffiliated, (Write In),0
Baltimore,Dwight Kenneth French,Unaffiliated, (Write In),0
Baltimore,Darrell  Hykes,Unaffiliated, (Write In),0
Baltimore,Nelson  Keyton,Unaffiliated, (Write In),0
Calvert,David M. Crosby,Unaffiliated, (Write In),0
Calvert,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),1
Calvert,Robert William Dietz,Unaffiliated, (Write In),0
Calvert,Dwight Kenneth French,Unaffiliated, (Write In),0
Calvert,Darrell  Hykes,Unaffiliated, (Write In),2
Calvert,Nelson  Keyton,Unaffiliated, (Write In),0
Caroline,David M. Crosby,Unaffiliated, (Write In),0
Caroline,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Caroline,Robert William Dietz,Unaffiliated, (Write In),0
Caroline,Dwight Kenneth French,Unaffiliated, (Write In),0
Caroline,Darrell  Hykes,Unaffiliated, (Write In),0
Caroline,Nelson  Keyton,Unaffiliated, (Write In),0
Carroll,David M. Crosby,Unaffiliated, (Write In),0
Carroll,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Carroll,Robert William Dietz,Unaffiliated, (Write In),0
Carroll,Dwight Kenneth French,Unaffiliated, (Write In),0
Carroll,Darrell  Hykes,Unaffiliated, (Write In),0
Carroll,Nelson  Keyton,Unaffiliated, (Write In),0
Cecil,David M. Crosby,Unaffiliated, (Write In),0
Cecil,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Cecil,Robert William Dietz,Unaffiliated, (Write In),0
Cecil,Dwight Kenneth French,Unaffiliated, (Write In),0
Cecil,Darrell  Hykes,Unaffiliated, (Write In),0
Cecil,Nelson  Keyton,Unaffiliated, (Write In),0
Charles,David M. Crosby,Unaffiliated, (Write In),0
Charles,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Charles,Robert William Dietz,Unaffiliated, (Write In),0
Charles,Dwight Kenneth French,Unaffiliated, (Write In),0
Charles,Darrell  Hykes,Unaffiliated, (Write In),0
Charles,Nelson  Keyton,Unaffiliated, (Write In),0
Dorchester,David M. Crosby,Unaffiliated, (Write In),0
Dorchester,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Dorchester,Robert William Dietz,Unaffiliated, (Write In),0
Dorchester,Dwight Kenneth French,Unaffiliated, (Write In),0
Dorchester,Darrell  Hykes,Unaffiliated, (Write In),0
Dorchester,Nelson  Keyton,Unaffiliated, (Write In),0
Frederick,David M. Crosby,Unaffiliated, (Write In),0
Frederick,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Frederick,Robert William Dietz,Unaffiliated, (Write In),0
Frederick,Dwight Kenneth French,Unaffiliated, (Write In),0
Frederick,Darrell  Hykes,Unaffiliated, (Write In),0
Frederick,Nelson  Keyton,Unaffiliated, (Write In),1
Garrett,David M. Crosby,Unaffiliated, (Write In),0
Garrett,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Garrett,Robert William Dietz,Unaffiliated, (Write In),0
Garrett,Dwight Kenneth French,Unaffiliated, (Write In),0
Garrett,Darrell  Hykes,Unaffiliated, (Write In),0
Garrett,Nelson  Keyton,Unaffiliated, (Write In),0
Harford,David M. Crosby,Unaffiliated, (Write In),0
Harford,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Harford,Robert William Dietz,Unaffiliated, (Write In),0
Harford,Dwight Kenneth French,Unaffiliated, (Write In),0
Harford,Darrell  Hykes,Unaffiliated, (Write In),0
Harford,Nelson  Keyton,Unaffiliated, (Write In),2
Howard,David M. Crosby,Unaffiliated, (Write In),0
Howard,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),1
Howard,Robert William Dietz,Unaffiliated, (Write In),0
Howard,Dwight Kenneth French,Unaffiliated, (Write In),0
Howard,Darrell  Hykes,Unaffiliated, (Write In),0
Howard,Nelson  Keyton,Unaffiliated, (Write In),0
Kent,David M. Crosby,Unaffiliated, (Write In),0
Kent,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),1
Kent,Robert William Dietz,Unaffiliated, (Write In),0
Kent,Dwight Kenneth French,Unaffiliated, (Write In),0
Kent,Darrell  Hykes,Unaffiliated, (Write In),0
Kent,Nelson  Keyton,Unaffiliated, (Write In),0
Montgomery,David M. Crosby,Unaffiliated, (Write In),1
Montgomery,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Montgomery,Robert William Dietz,Unaffiliated, (Write In),0
Montgomery,Dwight Kenneth French,Unaffiliated, (Write In),2
Montgomery,Darrell  Hykes,Unaffiliated, (Write In),0
Montgomery,Nelson  Keyton,Unaffiliated, (Write In),0
Prince George's,David M. Crosby,Unaffiliated, (Write In),2
Prince George's,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Prince George's,Robert William Dietz,Unaffiliated, (Write In),1
Prince George's,Dwight Kenneth French,Unaffiliated, (Write In),0
Prince George's,Darrell  Hykes,Unaffiliated, (Write In),3
Prince George's,Nelson  Keyton,Unaffiliated, (Write In),0
Queen Anne's,David M. Crosby,Unaffiliated, (Write In),0
Queen Anne's,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),1
Queen Anne's,Robert William Dietz,Unaffiliated, (Write In),0
Queen Anne's,Dwight Kenneth French,Unaffiliated, (Write In),0
Queen Anne's,Darrell  Hykes,Unaffiliated, (Write In),0
Queen Anne's,Nelson  Keyton,Unaffiliated, (Write In),0
St. Mary's,David M. Crosby,Unaffiliated, (Write In),0
St. Mary's,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
St. Mary's,Robert William Dietz,Unaffiliated, (Write In),0
St. Mary's,Dwight Kenneth French,Unaffiliated, (Write In),0
St. Mary's,Darrell  Hykes,Unaffiliated, (Write In),0
St. Mary's,Nelson  Keyton,Unaffiliated, (Write In),0
Somerset,David M. Crosby,Unaffiliated, (Write In),0
Somerset,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Somerset,Robert William Dietz,Unaffiliated, (Write In),0
Somerset,Dwight Kenneth French,Unaffiliated, (Write In),0
Somerset,Darrell  Hykes,Unaffiliated, (Write In),0
Somerset,Nelson  Keyton,Unaffiliated, (Write In),0
Talbot,David M. Crosby,Unaffiliated, (Write In),0
Talbot,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Talbot,Robert William Dietz,Unaffiliated, (Write In),0
Talbot,Dwight Kenneth French,Unaffiliated, (Write In),0
Talbot,Darrell  Hykes,Unaffiliated, (Write In),0
Talbot,Nelson  Keyton,Unaffiliated, (Write In),0
Washington,David M. Crosby,Unaffiliated, (Write In),1
Washington,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Washington,Robert William Dietz,Unaffiliated, (Write In),0
Washington,Dwight Kenneth French,Unaffiliated, (Write In),0
Washington,Darrell  Hykes,Unaffiliated, (Write In),2
Washington,Nelson  Keyton,Unaffiliated, (Write In),0
Wicomico,David M. Crosby,Unaffiliated, (Write In),0
Wicomico,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Wicomico,Robert William Dietz,Unaffiliated, (Write In),0
Wicomico,Dwight Kenneth French,Unaffiliated, (Write In),0
Wicomico,Darrell  Hykes,Unaffiliated, (Write In),0
Wicomico,Nelson  Keyton,Unaffiliated, (Write In),0
Worcester,David M. Crosby,Unaffiliated, (Write In),0
Worcester,"Fred Donald Dickson, Jr.",Unaffiliated, (Write In),0
Worcester,Robert William Dietz,Unaffiliated, (Write In),0
Worcester,Dwight Kenneth French,Unaffiliated, (Write In),0
Worcester,Darrell  Hykes,Unaffiliated, (Write In),0
Worcester,Nelson  Keyton,Unaffiliated, (Write In),0
Allegany,Dean  Morstad,Unaffiliated, (Write In),0
Allegany,Deonia  Neveu,Unaffiliated, (Write In),0
Allegany,Terrance James O'Hara,Unaffiliated, (Write In),0
Allegany,Reed/ Cary,Unaffiliated, (Write In),0
Allegany,Cecil James Roth,Unaffiliated, (Write In),0
Allegany,Sheila  Tittle,Unaffiliated, (Write In),0
Anne Arundel,Dean  Morstad,Unaffiliated, (Write In),0
Anne Arundel,Deonia  Neveu,Unaffiliated, (Write In),0
Anne Arundel,Terrance James O'Hara,Unaffiliated, (Write In),0
Anne Arundel,Reed/ Cary,Unaffiliated, (Write In),0
Anne Arundel,Cecil James Roth,Unaffiliated, (Write In),0
Anne Arundel,Sheila  Tittle,Unaffiliated, (Write In),0
Baltimore City,Dean  Morstad,Unaffiliated, (Write In),0
Baltimore City,Deonia  Neveu,Unaffiliated, (Write In),0
Baltimore City,Terrance James O'Hara,Unaffiliated, (Write In),0
Baltimore City,Reed/ Cary,Unaffiliated, (Write In),0
Baltimore City,Cecil James Roth,Unaffiliated, (Write In),0
Baltimore City,Sheila  Tittle,Unaffiliated, (Write In),0
Baltimore,Dean  Morstad,Unaffiliated, (Write In),1
Baltimore,Deonia  Neveu,Unaffiliated, (Write In),0
Baltimore,Terrance James O'Hara,Unaffiliated, (Write In),0
Baltimore,Reed/ Cary,Unaffiliated, (Write In),0
Baltimore,Cecil James Roth,Unaffiliated, (Write In),0
Baltimore,Sheila  Tittle,Unaffiliated, (Write In),0
Calvert,Dean  Morstad,Unaffiliated, (Write In),0
Calvert,Deonia  Neveu,Unaffiliated, (Write In),0
Calvert,Terrance James O'Hara,Unaffiliated, (Write In),0
Calvert,Reed/ Cary,Unaffiliated, (Write In),0
Calvert,Cecil James Roth,Unaffiliated, (Write In),0
Calvert,Sheila  Tittle,Unaffiliated, (Write In),0
Caroline,Dean  Morstad,Unaffiliated, (Write In),0
Caroline,Deonia  Neveu,Unaffiliated, (Write In),0
Caroline,Terrance James O'Hara,Unaffiliated, (Write In),0
Caroline,Reed/ Cary,Unaffiliated, (Write In),0
Caroline,Cecil James Roth,Unaffiliated, (Write In),0
Caroline,Sheila  Tittle,Unaffiliated, (Write In),0
Carroll,Dean  Morstad,Unaffiliated, (Write In),0
Carroll,Deonia  Neveu,Unaffiliated, (Write In),0
Carroll,Terrance James O'Hara,Unaffiliated, (Write In),0
Carroll,Reed/ Cary,Unaffiliated, (Write In),0
Carroll,Cecil James Roth,Unaffiliated, (Write In),0
Carroll,Sheila  Tittle,Unaffiliated, (Write In),0
Cecil,Dean  Morstad,Unaffiliated, (Write In),0
Cecil,Deonia  Neveu,Unaffiliated, (Write In),0
Cecil,Terrance James O'Hara,Unaffiliated, (Write In),0
Cecil,Reed/ Cary,Unaffiliated, (Write In),0
Cecil,Cecil James Roth,Unaffiliated, (Write In),0
Cecil,Sheila  Tittle,Unaffiliated, (Write In),0
Charles,Dean  Morstad,Unaffiliated, (Write In),0
Charles,Deonia  Neveu,Unaffiliated, (Write In),0
Charles,Terrance James O'Hara,Unaffiliated, (Write In),0
Charles,Reed/ Cary,Unaffiliated, (Write In),0
Charles,Cecil James Roth,Unaffiliated, (Write In),0
Charles,Sheila  Tittle,Unaffiliated, (Write In),0
Dorchester,Dean  Morstad,Unaffiliated, (Write In),0
Dorchester,Deonia  Neveu,Unaffiliated, (Write In),0
Dorchester,Terrance James O'Hara,Unaffiliated, (Write In),0
Dorchester,Reed/ Cary,Unaffiliated, (Write In),0
Dorchester,Cecil James Roth,Unaffiliated, (Write In),0
Dorchester,Sheila  Tittle,Unaffiliated, (Write In),0
Frederick,Dean  Morstad,Unaffiliated, (Write In),0
Frederick,Deonia  Neveu,Unaffiliated, (Write In),0
Frederick,Terrance James O'Hara,Unaffiliated, (Write In),0
Frederick,Reed/ Cary,Unaffiliated, (Write In),5
Frederick,Cecil James Roth,Unaffiliated, (Write In),0
Frederick,Sheila  Tittle,Unaffiliated, (Write In),0
Garrett,Dean  Morstad,Unaffiliated, (Write In),0
Garrett,Deonia  Neveu,Unaffiliated, (Write In),0
Garrett,Terrance James O'Hara,Unaffiliated, (Write In),0
Garrett,Reed/ Cary,Unaffiliated, (Write In),0
Garrett,Cecil James Roth,Unaffiliated, (Write In),0
Garrett,Sheila  Tittle,Unaffiliated, (Write In),0
Harford,Dean  Morstad,Unaffiliated, (Write In),0
Harford,Deonia  Neveu,Unaffiliated, (Write In),0
Harford,Terrance James O'Hara,Unaffiliated, (Write In),0
Harford,Reed/ Cary,Unaffiliated, (Write In),0
Harford,Cecil James Roth,Unaffiliated, (Write In),1
Harford,Sheila  Tittle,Unaffiliated, (Write In),0
Howard,Dean  Morstad,Unaffiliated, (Write In),0
Howard,Deonia  Neveu,Unaffiliated, (Write In),0
Howard,Terrance James O'Hara,Unaffiliated, (Write In),0
Howard,Reed/ Cary,Unaffiliated, (Write In),0
Howard,Cecil James Roth,Unaffiliated, (Write In),0
Howard,Sheila  Tittle,Unaffiliated, (Write In),0
Kent,Dean  Morstad,Unaffiliated, (Write In),0
Kent,Deonia  Neveu,Unaffiliated, (Write In),0
Kent,Terrance James O'Hara,Unaffiliated, (Write In),0
Kent,Reed/ Cary,Unaffiliated, (Write In),0
Kent,Cecil James Roth,Unaffiliated, (Write In),0
Kent,Sheila  Tittle,Unaffiliated, (Write In),0
Montgomery,Dean  Morstad,Unaffiliated, (Write In),0
Montgomery,Deonia  Neveu,Unaffiliated, (Write In),0
Montgomery,Terrance James O'Hara,Unaffiliated, (Write In),0
Montgomery,Reed/ Cary,Unaffiliated, (Write In),1
Montgomery,Cecil James Roth,Unaffiliated, (Write In),0
Montgomery,Sheila  Tittle,Unaffiliated, (Write In),0
Prince George's,Dean  Morstad,Unaffiliated, (Write In),0
Prince George's,Deonia  Neveu,Unaffiliated, (Write In),0
Prince George's,Terrance James O'Hara,Unaffiliated, (Write In),0
Prince George's,Reed/ Cary,Unaffiliated, (Write In),1
Prince George's,Cecil James Roth,Unaffiliated, (Write In),0
Prince George's,Sheila  Tittle,Unaffiliated, (Write In),0
Queen Anne's,Dean  Morstad,Unaffiliated, (Write In),0
Queen Anne's,Deonia  Neveu,Unaffiliated, (Write In),0
Queen Anne's,Terrance James O'Hara,Unaffiliated, (Write In),0
Queen Anne's,Reed/ Cary,Unaffiliated, (Write In),0
Queen Anne's,Cecil James Roth,Unaffiliated, (Write In),0
Queen Anne's,Sheila  Tittle,Unaffiliated, (Write In),0
St. Mary's,Dean  Morstad,Unaffiliated, (Write In),0
St. Mary's,Deonia  Neveu,Unaffiliated, (Write In),0
St. Mary's,Terrance James O'Hara,Unaffiliated, (Write In),0
St. Mary's,Reed/ Cary,Unaffiliated, (Write In),0
St. Mary's,Cecil James Roth,Unaffiliated, (Write In),0
St. Mary's,Sheila  Tittle,Unaffiliated, (Write In),0
Somerset,Dean  Morstad,Unaffiliated, (Write In),0
Somerset,Deonia  Neveu,Unaffiliated, (Write In),0
Somerset,Terrance James O'Hara,Unaffiliated, (Write In),0
Somerset,Reed/ Cary,Unaffiliated, (Write In),0
Somerset,Cecil James Roth,Unaffiliated, (Write In),0
Somerset,Sheila  Tittle,Unaffiliated, (Write In),0
Talbot,Dean  Morstad,Unaffiliated, (Write In),0
Talbot,Deonia  Neveu,Unaffiliated, (Write In),0
Talbot,Terrance James O'Hara,Unaffiliated, (Write In),0
Talbot,Reed/ Cary,Unaffiliated, (Write In),0
Talbot,Cecil James Roth,Unaffiliated, (Write In),0
Talbot,Sheila  Tittle,Unaffiliated, (Write In),0
Washington,Dean  Morstad,Unaffiliated, (Write In),0
Washington,Deonia  Neveu,Unaffiliated, (Write In),0
Washington,Terrance James O'Hara,Unaffiliated, (Write In),1
Washington,Reed/ Cary,Unaffiliated, (Write In),0
Washington,Cecil James Roth,Unaffiliated, (Write In),0
Washington,Sheila  Tittle,Unaffiliated, (Write In),0
Wicomico,Dean  Morstad,Unaffiliated, (Write In),0
Wicomico,Deonia  Neveu,Unaffiliated, (Write In),0
Wicomico,Terrance James O'Hara,Unaffiliated, (Write In),0
Wicomico,Reed/ Cary,Unaffiliated, (Write In),0
Wicomico,Cecil James Roth,Unaffiliated, (Write In),0
Wicomico,Sheila  Tittle,Unaffiliated, (Write In),0
Worcester,Dean  Morstad,Unaffiliated, (Write In),0
Worcester,Deonia  Neveu,Unaffiliated, (Write In),0
Worcester,Terrance James O'Hara,Unaffiliated, (Write In),0
Worcester,Reed/ Cary,Unaffiliated, (Write In),0
Worcester,Cecil James Roth,Unaffiliated, (Write In),0
Worcester,Sheila  Tittle,Unaffiliated, (Write In),0
Allegany,Other Write-Ins,N/A,,87
Anne Arundel,Other Write-Ins,N/A,,995
Baltimore City,Other Write-Ins,N/A,,573
Baltimore,Other Write-Ins,N/A,,1476
Calvert,Other Write-Ins,N/A,,133
Caroline,Other Write-Ins,N/A,,38
Carroll,Other Write-Ins,N/A,,495
Cecil,Other Write-Ins,N/A,,151
Charles,Other Write-Ins,N/A,,251
Dorchester,Other Write-Ins,N/A,,23
Frederick,Other Write-Ins,N/A,,422
Garrett,Other Write-Ins,N/A,,41
Harford,Other Write-Ins,N/A,,497
Howard,Other Write-Ins,N/A,,522
Kent,Other Write-Ins,N/A,,21
Montgomery,Other Write-Ins,N/A,,1376
Prince George's,Other Write-Ins,N/A,,935
Queen Anne's,Other Write-Ins,N/A,,80
St. Mary's,Other Write-Ins,N/A,,189
Somerset,Other Write-Ins,N/A,,8
Talbot,Other Write-Ins,N/A,,41
Washington,Other Write-Ins,N/A,,241
Wicomico,Other Write-Ins,N/A,,136
Worcester,Other Write-Ins,N/A,,57
